store_num	style_id	name	hh_mm	img_url	latitude	longitude
628	3571794	Mini Boden 'Big Creature' Appliqu� T-Shirt (Toddle	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_8147603.jpg	36850206	-76289274
523	3603898	Burberry Brit Check Trim Tee	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_7932464.jpg	41032511	-73758453
730	3495598	Dior 'Addict Extreme' Lipstick	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/16/_6853916.jpg	29735421	-95465146
345	3008303	Giorgio Armani High Precision Retouch	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/12/_5720272.jpg	34135847	-118054124
772	3061892	Salvatore Ferragamo 'F by Ferragamo pour Homme Bla	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/14/_5889794.jpg	33853824	-84359092
731	3382869	CHANEL ROUGE ALLURE LUMINOUS INTENSE LIP COLOUR	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/13/_7217573.jpg	30255371	-97809988
723	3623227	Topshop Embellished Shell	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_8387804.jpg	32865709	-96798079
730	3383030	Dior 'Addict Extreme' Lipstick	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/16/_6853916.jpg	29735421	-95465146
237	2797674	Yves Saint Laurent 'Touche �clat' Radiant Touch	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/16/_5813776.jpg	40541227	-80006484
325	3583285	Lanc�me 'La Vie est Belle' Holiday Inspirations Se	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/11/_8402391.jpg	33905966	-117456499
37	3489117	Guerlain Nail Lacquer	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/17/_7826957.jpg	39718014	-104954735
345	3142789	CHANEL ROUGE COCO SHINE	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_7874980.jpg	34135847	-118054124
4	3527002	Moncler 'Tib' Shine Down Vest	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_8242864.jpg	47614083	-122204713
421	3591182	Kiehl's Since 1851 'Ultimate Man' Body Scrub Soap	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/19/_8368059.jpg	37895751	-122058132
421	2929852	Kiehl's Since 1851 Ultimate Man Body Scrub Soap	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/19/_5343079.jpg	37895751	-122058132
26	3109869	PIKOLINOS 'Brujas' Boot	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/1/_7291961.jpg	45659279	-122587126
381	3405125	CHANEL LE VOLUME DE CHANEL MASCARA	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/16/_7371236.jpg	33305578	-111900467
425	3595409	Lanc�me 'Juicy Tubes - Dazzling Pink' Ultra Shiny	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/5/_8366785.jpg	37326947	-121948602
730	3277782	Dior 'Addict Extreme' Lipstick	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_6853920.jpg	29735421	-95465146
237	3495639	Yves Saint Laurent 'Rouge Volupt� Shine' Lipstick	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_7618440.jpg	40541227	-80006484
765	2856452	HM by Hanae Mori Men's Eau de Parfum Spray	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/4/_6178804.jpg	27961862	-82524062
386	3237235	Giorgio Armani 'Eyes to Kill' Stretch Mascara	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/13/_6645053.jpg	36127536	-115168015
730	3383030	Dior 'Addict Extreme' Lipstick	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_6853920.jpg	29735421	-95465146
221	3569454	L'Agent by Agent Provocateur 'Vanesa' Garter Belt	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/14/_8175874.jpg	41850280	-87956523
731	3364238	CHANEL ROUGE ALLURE LUMINOUS INTENSE LIP COLOUR	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/13/_7217573.jpg	30255371	-97809988
237	2922448	Kiehl's Since 1851 Facial Fuel Moisturizer for Men	1400	http://content.nordstrom.com/imagegallery/store/product/thumbnail/10/_5343070.jpg	40541227	-80006484
240	3321887	Kiehl's Since 1851 'Facial Fuel No-Shine' Hydrator	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/13/_6996953.jpg	38634717	-90346138
10	3235820	Panache Underwire Sports Bra (DD Cup & Up)	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/6/_7359666.jpg	47831917	-122275400
762	3500004	CHANEL L�VRES SCINTILLANTES ARAGONITE GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
762	3499409	CHANEL L�VRES SCINTILLANTES OCEAN SHIMMER GLOSSIME	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
762	3500034	CHANEL L�VRES SCINTILLANTES SEASHELL GLOSSIMER	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/3/_7848043.jpg	26368447	-80134361
767	2793451	Clarins One-Step Facial Cleanser	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/19/_7157919.jpg	28448706	-81401159
762	2826970	CHANEL AQUA CRAYON LIP COLOUR STICK	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_6212180.jpg	26368447	-80134361
25	3623372	Topshop Pleat Front Chiffon Romper	1401	http://content.nordstrom.com/imagegallery/store/product/thumbnail/0/_8388980.jpg	45446607	-122781678
